utcTimeMillis,Latitude,Longitude
1717828568000,21.007540646818455,105.85139850217269
1717828569000,21.007500390710526,105.85142295310793
1717828570000,21.007436981992388,105.85141303393802
1717828571000,21.00749272501892,105.85143433724912
1717828572000,21.007505905014494,105.85134714156331
1717828573000,21.007452671425117,105.85134200913359
1717828574000,21.007388791430213,105.85132668131527
1717828575000,21.007023287746026,105.85123776160613
1717828576000,21.007241911766695,105.8514012865756
1717828577000,21.007037402501467,105.85140845900526
1717828578000,21.00697202720307,105.85139691048427
1717828579000,21.006994768901954,105.85136920708723
1717828580000,21.006877675407626,105.85141093114332
1717828582000,21.006815734778826,105.85157560136307
1717828583000,21.006703848562278,105.85151364268913
1717828584000,21.0066421653789,105.8515071828003
1717828585000,21.006864827634793,105.85143583957561
1717828586000,21.006641920902986,105.85137544253534
1717828588000,21.00659356127824,105.85120883871298
1717828589000,21.006475810802105,105.85121380225875
1717828590000,21.006367981185075,105.85123912632712
1717828591000,21.00627421462015,105.85129862665404
1717828592000,21.00621885646426,105.85130191983127
1717828594000,21.006092198719017,105.85128511326921
1717828595000,21.00602364772505,105.85127204813091
1717828596000,21.005959116916202,105.85126257487951
1717828597000,21.00583557488288,105.85118310554994
1717828598000,21.00566199087535,105.85117460348857
1717828599000,21.005605195460685,105.85111783144909
1717828600000,21.005544248135667,105.8511316434646
1717828601000,21.005457091027584,105.85113052704973
1717828602000,21.00525807023879,105.85114443491332
1717828604000,21.005228174671423,105.85116261062498
1717828605000,21.00517069724339,105.85115230664398
1717828607000,21.00511636994574,105.85114828484427
1717828608000,21.005098549551892,105.85112255327901
1717828609000,21.005023169088574,105.85114045965703
1717828611000,21.00491389209105,105.85119393209
1717828612000,21.004822372394294,105.85117990633533
1717828613000,21.00478712098781,105.85117914625344
1717828614000,21.004700437756295,105.85116456722638
1717828615000,21.004604456699045,105.8510753695122
1717828616000,21.004546207732318,105.85108152741297
1717828617000,21.00448307868061,105.8510695399348
1717828618000,21.004507102775744,105.8511549887765
1717828619000,21.00440882509029,105.85116337237557
1717828620000,21.004359189341724,105.85115696799619
1717828621000,21.004304308187134,105.85115088529152
1717828622000,21.00391691735078,105.85113815809589
1717828623000,21.003798059292784,105.85102575759144
1717828624000,21.003806160988496,105.85099864788542
1717828625000,21.003797644764763,105.85102318496043
1717828626000,21.00383873123409,105.8509574351883
1717828627000,21.00379217989633,105.8509498331756
1717828628000,21.00374345792047,105.85094167220728
1717828629000,21.003848801035268,105.85104323602572
1717828630000,21.003748965525784,105.85114493253627
1717828631000,21.003687325251537,105.8509926107897
1717828632000,21.00375048190616,105.85103110748186
1717828633000,21.003659977460604,105.85095391494596
1717828634000,21.00355421762504,105.85098342715116
1717828635000,21.003495414734896,105.85096685418677
1717828637000,21.003441184229146,105.85098489752576
1717828638000,21.003398196367225,105.8509983109415
1717828639000,21.003357884011848,105.85099311541272
1717828640000,21.002915117811007,105.85060434958682
1717828641000,21.002963584238405,105.85063738167412
1717828642000,21.003001438709433,105.85064212330732
1717828643000,21.00298441830576,105.85068463941083
1717828644000,21.00307633707517,105.85063956274062
1717828645000,21.00302590549734,105.85070865047807
1717828646000,21.00300609638375,105.85071053099537
1717828647000,21.002970196726217,105.85065779794279
1717828648000,21.00294878950589,105.8506575045101
1717828649000,21.002915740019574,105.85065428544378
1717828650000,21.003029411424883,105.85081573252172
1717828651000,21.002811929461128,105.85081590656003
1717828652000,21.002747176258836,105.8508394691867
1717828653000,21.00269764066548,105.85088627954413
1717828654000,21.00269181352213,105.85093891116013
1717828655000,21.00265509774453,105.85093751338098
1717828656000,21.00295477195375,105.85065200313316
1717828657000,21.00247107359977,105.85073568139478
1717828658000,21.00249044697229,105.85075203957433
1717828659000,21.00246752114465,105.85076223637824
1717828660000,21.002416446502053,105.85076148556502
1717828661000,21.00243186639153,105.85078128694991
1717828662000,21.00238562090396,105.85078055852938
1717828663000,21.002416546108456,105.8510945047652
1717828664000,21.00236422381596,105.8510778449884
1717828665000,21.002211404534464,105.85101601169448
1717828666000,21.002183647589145,105.85095001828871
1717828668000,21.002186329708373,105.85078035584131
1717828669000,21.002052249614906,105.85088122919012
1717828670000,21.001988754487375,105.85084326878537
1717828671000,21.00200418163426,105.85085844922418
1717828672000,21.001943698628537,105.8508595057923
1717828674000,21.00187997640821,105.85084059147792
1717828675000,21.001821390843702,105.8508403255722
1717828677000,21.00192473718667,105.85095047394547
1717828678000,21.00186412936206,105.8508445174406
1717828679000,21.001807304249883,105.85083924614813
1717828680000,21.00156700700001,105.85070290414117
1717828681000,21.001579412140746,105.85081179034383
1717828682000,21.001545550676422,105.85080556878333
1717828683000,21.00145507621511,105.85073316228102
1717828684000,21.001377151854733,105.85078056959587
1717828685000,21.001261482626866,105.85080994229156
1717828686000,21.00113929145498,105.85080171293309
1717828687000,21.001098714216173,105.85082088958819
1717828688000,21.001036533456947,105.8507350612764
1717828689000,21.000976326261092,105.85072592581778
1717828690000,21.000925694081143,105.85070862013232
1717828691000,21.00064688793542,105.85065879671573
1717828693000,21.000593715504802,105.85064220891726
1717828694000,21.000597141801972,105.85044447802781
1717828695000,21.00055925454679,105.85056544555107
1717828696000,21.000524933660408,105.85059522812695
1717828697000,21.000522287832442,105.85077775389962
1717828698000,21.000524742887624,105.85074305506389
1717828699000,21.000522146613278,105.85069850558705
1717828700000,21.000524511490433,105.85062337332957
1717828701000,21.00053875675743,105.85058135274521
1717828702000,21.000568088451363,105.85050514086895
1717828703000,21.000595145347656,105.85043097342174
1717828704000,21.000592860077553,105.85036126857375
1717828705000,21.000602634856982,105.85030012137955
1717828706000,21.000602724941032,105.8502342902111
