utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,,,,,,,
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,14,0,16399,3.10349E+14,46,24.9,220.614975,0.855499983,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,20.6,-1530.433472,22.10926247,0,0,I,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,13,0,16399,3.10349E+14,21,31.2,-137.6506653,0.074100003,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,26.9,-1530.433472,22.10926247,0,0,I,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,8,0,16399,3.10349E+14,16,33.5,-105.3964386,0.044399999,16,0,1920.375754,1.56E+09,0,0,0,0,0,5,0.85,29.2,-1530.433472,22.10926247,0,0,I,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,6,0,16399,3.10349E+14,53,23.9,6.308497906,0.931499958,16,0,0,1.56E+09,0,0,0,0,0,5,0.85,19.6,-1530.433472,22.10926247,0,0,I,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,4,0,23567,3.10363E+14,21,30.4,262.0210571,0.087600008,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,0.03,26.1,-1449.251953,17.4485321,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,5,0,23567,3.10363E+14,31,27.9,-160.1416321,0.693499982,16,0,0,1.58E+09,0,0,0,0,0,6,0.03,23.6,-1449.251953,17.4485321,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,9,0,23567,3.10363E+14,17,32.6,87.85452271,0.056299999,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,0.03,28.3,-1449.251953,17.4485321,0,0,C,3.79875E+15
1.71578E+12,4.57622E+14,18,0,-1.39936E+18,0.112279892,75.01617802,-3.727030244,12.53077345,1665,36,0,23567,3.10363E+14,12,36.5,-123.8467789,0.048,16,0,1902.917734,1.58E+09,0,0,0,0,0,6,0.03,32.2,-1449.251953,17.4485321,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,10,0,16399,3.10364E+14,16,33.2,-467.0220947,0.053400002,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.08,29.6,0,0,0,0,C,3.79875E+15
1.71578E+12,4.57623E+14,18,0,-1.39936E+18,0.548318386,63.67156311,-8.376190206,14.00453955,1665,23,0,16399,3.10364E+14,11,36.9,-171.2170105,0.024700001,16,0,1902.917734,1.58E+09,0,0,0,0,0,1,-0.08,33.3,0,0,0,0,C,3.79875E+15
